"stage","w","v","fec_mean","fec_var","phi"
"one_leaf",0.528535145565235,0.11393247581898,0.748,0.748,0.134580226344497
"multileaf_nonfl",0.311896253486078,1.9944289915735,0.137,0.137,0.431490528684126
"multileaf_flower",0.159568600948687,1.99116712250168,0.138,0.138,0.433929244971378
