"stage","w","v","fec_mean","fec_var","phi"
"one_leaf",0.960502096111497,0.553190968840625,0.886,0.886,0.00486304430970532
"multileaf_nonfl",0.0278281848992967,11.373617377589,2.91,2.91,0.328390833767529
"multileaf_flower",0.0116697189892065,13.0381706416373,5.154,5.154,0.666746121922766
