"stage","w","v","fec_mean","fec_var","phi"
"one_leaf",0.922127168773042,0.394257688919421,0.844,0.844,0.00997139055750391
"multileaf_nonfl",0.0454751601011565,7.59291091907315,1.449,1.449,0.32969305491958
"multileaf_flower",0.032397671125801,8.98692479284997,2.452,2.452,0.660335554522916
