"stage","w","v","fec_mean","fec_var","phi"
"one_leaf",0.416171079641852,0.100108168702004,0.789,0.789,0.218413174740094
"multileaf_nonfl",0.315314440245474,1.56141989659059,0.121,0.121,0.52244116712289
"multileaf_flower",0.268514480112674,1.73547301610388,0.054,0.054,0.259145658137016
